"";"codeplas";"NH4_N_zhj"
"1";"ANTMRK0177";0,103535745716208
"2";"ANTMRK0204";0,72475022001346
"3";"ANTMRK0206";0,055650463322462
"4";"ANTOTH0271";0,0388259046435782
"5";"ANTOTH0306";0,0388259046435782
"6";"ANTOTH0324";0,135890666252524
"7";"ANTRAV0014";0,0621214474297251
"8";"ANTRAV0052";0,132008075788166
"9";"ANTRAV0122";0,147538437645597
"10";"ANTRAV0175";0,066004037894083
"11";"ANTRAV0188";0,0388259046435782
"12";"ANTRAV0208";0,18377594864627
"13";"ANTRAV0211";0,0776518092871565
"14";"ANTRAV0230";0,0388259046435782
"15";"ANTRAV0293";0,0562975617331884
"16";"ANTTUR0018";0,0621214474297252
"17";"ANTTUR0022";0,0478852823937464
"18";"ANTTUR0046";0,0543562665010096
"19";"ANTTUR0065";0,0388259046435782
"20";"ANTTUR0077";0,0569446601439147
"21";"ANTTUR0079";0,262463115390589
"22";"ANTTUR0082";0,14883263446705
"23";"ANTTUR0094";0,97841279701817
"24";"ANTTUR0257";0,066004037894083
"25";"ANTTUR0270";0,0916291349588446
"26";"ANTTUR0273";0,0931821711445878
"27";"ANTTUR0277";0,0634156442511777
"28";"ANTTUR0282";0,0388259046435782
"29";"ANTTUR0287";0,0698866283584407
"30";"ANTTUR0292";0,0465910855722938
"31";"ANTTUR0295";0,0530620696795568
"32";"ANTTUR0296";0,0388259046435782
"33";"ANTTUR0297";0,0388259046435782
"34";"ANTTUR0299";0,187658539110628
"35";"ANTTUR0300";0,199306310503702
"36";"ANTTUR0301";0,102241548894756
"37";"ANTTUR0302";0,0621214474297252
"38";"ANTTUR0304";0,252368380183258
"39";"ANTTUR0305";9,29492157167264
"40";"ANTTUR0674";0,261427757933426
