"";"codeplas";"pH_min";"pH_max";"pH_bereik"
"1";"ANTRAV0014";6,03;7,708;"6.03 - 7.708"
"2";"ANTTUR0282";5,085;6,146;"5.085 - 6.146"
"3";"ANTTUR0292";5,593;7,692;"5.593 - 7.692"
"4";"ANTTUR0297";4,51;5,003;"4.51 - 5.003"
"5";"ANTTUR0299";6,15;7,67;"6.15 - 7.67"
