"";"codeplas";"Na_gem";"Na_max"
"1";"ANTRAV0014";2,565;2,66
"2";"ANTTUR0282";3,27166666666667;3,62
"3";"ANTTUR0292";2,87833333333333;4,22
"4";"ANTTUR0297";3,98;4,3
"5";"ANTTUR0299";8,93142857142857;11,09
