"","codeplas","zhjgem"
"1","ANTARE0025",0.484011520972781
"2","ANTARE0309",0.112419574607707
"3","ANTBAA0036",0.215350691446719
"4","ANTMRK0177",0.325323297089682
"5","ANTMRK0204",0.769470499248049
"6","ANTMRK0206",0.146794359384348
"7","ANTOTH0015",0.507702760282844
"8","ANTOTH0270",0.451002766136023
"9","ANTOTH0271",0.239913779722232
"10","ANTOTH0306",0.133627403597165
"11","ANTOTH0324",0.195948043679989
"12","ANTRAV0014",0.0749780130491117
"13","ANTRAV0052",0.31825738848951
"14","ANTRAV0122",0.191244003536705
"15","ANTRAV0175",0.103309194158975
"16","ANTRAV0188",0.0723661140695197
"17","ANTRAV0208",0.279814275598792
"18","ANTRAV0211",0.40469651728672
"19","ANTRAV0230",0.151241706004935
"20","ANTRAV0293",1.10804606001676
"21","ANTRAV0296",0.588586032764389
"22","ANTRAV0297",0.187906671022187
"23","ANTRAV0369",1.47924848321082
"24","ANTRAV0381",0.374925237664015
"25","ANTTUR0018",0.181341089919215
"26","ANTTUR0022",0.087449406762009
"27","ANTTUR0046",0.126524830494585
"28","ANTTUR0065",0.126096502045471
"29","ANTTUR0077",0.104038678190079
"30","ANTTUR0079",0.315656347315853
"31","ANTTUR0082",0.204321057528307
"32","ANTTUR0094",0.96940411777326
"33","ANTTUR0257",0.0935203323777035
"34","ANTTUR0270",0.122684479471079
"35","ANTTUR0273",0.126948277380866
"36","ANTTUR0277",0.124063470917564
"37","ANTTUR0282",0.0757545662245753
"38","ANTTUR0287",4.29254034443318
"39","ANTTUR0292",0.13877623296681
"40","ANTTUR0295",0.100532582409616
"41","ANTTUR0296",0.0977275459407245
"42","ANTTUR0297",0.117827847149849
"43","ANTTUR0299",0.203556314785538
"44","ANTTUR0300",0.254306716911662
"45","ANTTUR0301",0.153460732500273
"46","ANTTUR0302",0.100179593062407
"47","ANTTUR0304",0.36494328580668
"48","ANTTUR0305",9.61523169601697
"49","ANTTUR0674",0.325971393426608
