"";"codeplas";"Ca_maxzomer"
"1";"ANTRAV0014";3,77
"2";"ANTTUR0282";1,84
"3";"ANTTUR0292";1,3
"4";"ANTTUR0297";1,62
"5";"ANTTUR0299";16,12
