"";"codeplas";"Na_gem"
"1";"ANTMRK0177";5,9825
"2";"ANTMRK0204";2,41583333333333
"3";"ANTMRK0206";30,3308333333333
"4";"ANTOTH0271";7,3
"5";"ANTOTH0306";3,50636363636364
"6";"ANTOTH0324";5,27083333333333
"7";"ANTRAV0014";2,60083333333333
"8";"ANTRAV0052";9,11083333333333
"9";"ANTRAV0122";2,62454545454545
"10";"ANTRAV0175";3,59333333333333
"11";"ANTRAV0188";9,35666666666667
"12";"ANTRAV0208";9,4
"13";"ANTRAV0211";10,6907692307692
"14";"ANTRAV0230";4,77076923076923
"15";"ANTRAV0293";4,787
"16";"ANTTUR0018";6,43153846153846
"17";"ANTTUR0022";4,11909090909091
"18";"ANTTUR0046";4,11454545454545
"19";"ANTTUR0065";16,0328571428571
"20";"ANTTUR0077";13,4676923076923
"21";"ANTTUR0079";6,23727272727273
"22";"ANTTUR0082";23,1786666666667
"23";"ANTTUR0094";7,765
"24";"ANTTUR0257";3,67166666666667
"25";"ANTTUR0270";1,90636363636364
"26";"ANTTUR0273";2,41818181818182
"27";"ANTTUR0277";9,20461538461539
"28";"ANTTUR0282";3,04214285714286
"29";"ANTTUR0287";23,6716666666667
"30";"ANTTUR0292";4,86714285714286
"31";"ANTTUR0295";3,09692307692308
"32";"ANTTUR0296";6,97923076923077
"33";"ANTTUR0297";3,86857142857143
"34";"ANTTUR0299";14,233125
"35";"ANTTUR0300";12,8733333333333
"36";"ANTTUR0301";7,65833333333333
"37";"ANTTUR0302";5,32
"38";"ANTTUR0304";6,99928571428571
"39";"ANTTUR0305";9,275
"40";"ANTTUR0674";7,79230769230769
