"";"codeplas";"ZS550_zhjgem"
"1";"ANTRAV0014";0,0125
"2";"ANTTUR0282";0,0125
"3";"ANTTUR0292";0,0125
"4";"ANTTUR0297";0,0125
"5";"ANTTUR0299";0,0125
