"";"codeplas";"Si_gem"
"1";"ANTRAV0014";0,945
"2";"ANTTUR0282";0,125
"3";"ANTTUR0292";0,168333333333333
"4";"ANTTUR0297";0,346666666666667
"5";"ANTTUR0299";0,43
