"";"codeplas";"Na_gem"
"1";"ANTRAV0014";2,66
"2";"ANTTUR0282";3,38
"3";"ANTTUR0292";3,98
"4";"ANTTUR0297";4,19
"5";"ANTTUR0299";11,09
