"";"codeplas";"NO2_Ngem";"NO2_Nmax"
"1";"ANTRAV0014";0,0030441400304414;0,0030441400304414
"2";"ANTTUR0282";0,0030441400304414;0,0030441400304414
"3";"ANTTUR0292";0,0030441400304414;0,0030441400304414
"4";"ANTTUR0297";0,0030441400304414;0,0030441400304414
"5";"ANTTUR0299";0,00695803435529463;0,0243531202435312
