"";"codeplas";"abs_zhjgem"
"1";"ANTRAV0014";0,1015
"2";"ANTTUR0282";0,0238
"3";"ANTTUR0292";0,0231
"4";"ANTTUR0297";0,0244333333333333
"5";"ANTTUR0299";0,0604333333333333
