"";"codeplas";"EGV_90p"
"1";"ANTRAV0014";42,02
"2";"ANTTUR0282";41,98
"3";"ANTTUR0292";36,28
"4";"ANTTUR0297";49,26
"5";"ANTTUR0299";165,25
