"";"codeplas";"O2_10p"
"1";"ANTRAV0014";9,63
"2";"ANTTUR0282";8,018
"3";"ANTTUR0292";8,768
"4";"ANTTUR0297";8,874
"5";"ANTTUR0299";5,48
