"codeplas";"Al";"CO3";"Ca";"Cl";"EGV25_veld";"EGV_calc";"EGV_labo";"EGV_tit";"Fe";"HCO3_OEP";"K";"Mg";"Mn";"NH4";"NH4_N";"NO2";"NO2_N";"NO3";"NO3_N";"NPOC";"N_anorg";"Na";"O2_veld";"O2verz";"OH";"PO4";"PO4_P";"S";"SD_veld";"SO4";"SO4_S";"Si";"TN";"TP";"T_anion";"T_kation";"T_veld";"WD_veld";"ZS_105";"ZS_550";"absorptie_440";"alkaliniteit";"chl_a";"faeo";"pH_labo";"pH_veld";"sal_veld";"verschil_EGV_abs";"verschil_EGV_proc";"verschil_IC_abs";"verschil_IC_proc";"turbiditeit"
"ANTRAV0208";0,579;0,6;5,537;21,51;136,92;130,283;132,63;132,63;2,923;7,383;7,611;2,591;0,187;0,672;0,521820158409691;0,01;0,0030441400304414;1,108;0,250293665853438;32,906;0,587226412451455;11,669;7,239;69,6;0,18;0,05;0,0163078930202218;9,319;0,803;24,683;8,23865153538051;3,092;2,268;0,1025;1,11336;1,15735;27,28;0,846;0,0125;0,0125;0,09455;0,120993117010817;17,6;12,4;6,009;5,7994;0;5,331;5,375;0,118;5,3;NA
"ANTRAV0211";0,05;0,6;17,36;19,05;206,31;191,204;201,25;201,25;0,13;38,859;4,454;3,741;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,705;0,159257251287612;15,444;0,201127295961632;12,784;12,467;139,71;0,18;0,05;0,0163078930202218;13,694;1,229;40,413;13,4889853137516;0,25;1,124;0,11231;1,76143;1,78467;25,81;1,229;0,0125;0,0125;0,018;0,636823992133726;18,35;7,54;8,297;9,6372;0;10,964;5,898;0,0485;1,3;NA
"ANTRAV0230";0,29;0,6;3,458;12,078;79,58;77,884;80,08;80,08;0,05;2,5;2,128;0,97;0,12;0,198;0,153750582388569;0,01;0,0030441400304414;0,518;0,117014547754586;15,892;0,279230793621685;7,06;12,556;113,58;0,18;0,05;0,0163078930202218;3,658;1,114;9,194;3,06875834445928;0,25;1,36;0,015;0,65102;0,64404;27,74;1,114;0,0125;0,0125;0,01184;0,0409701737135365;27,1;11,26;5,748;5,886;0;2,388;4,126;0,0316;3,42;NA
"ANTRAV0293";2,424;0,6;27,939;10,727;405,8;346,856;391,6;391,6;8,835;10,258;7,805;6,034;0,312;0,297;0,230625873582854;0,01;0,0030441400304414;0,3;0,0677690431011114;42,923;0,281136620353281;6,891;13,01;120,23;0,18;0,05;0,0163078930202218;48,663;0,616;127,606;42,5921228304406;4,294;2,32;0,24224;2,87587;2,75532;25,84;0,626;0,0125;0,0125;0,0994899999999999;0,168108816781383;21,28;19,19;6,018;6,4697;0,11;42,368;11,464;0,2286;7,95;NA
"ANTTUR0018";0,458;0,6;4,118;19,678;122,84;115,82;121,44;121,44;0,242;2,5;3,49;1,694;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,346;0,0781602963766152;19,056;0,231510048584747;9,698;12,246;116,9;0,18;0,05;0,0163078930202218;5,77;0,658;14,616;4,87850467289719;0,25;1,3;0,027;0,8795;0,89166;26,2;0,666;0,0125;0,0125;0,0351;0,0409701737135365;10,76;11,14;4,648;4,444;0;7,312;7,06;0,0472;6,14;NA
"ANTTUR0022";0,29;0,6;1,04;8,6;50,6;48,69;51,6;51,6;0,19;2,5;3,91;0,59;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,34;0,0768049155145929;29,27;0,118674960188612;5,4;11,5;116,5;0,18;0,05;0,0163078930202218;1,27;0,57;2,89;0,964619492656876;0,25;1,45;0,0654;0,3931;0,4521;24,9;0,57;0,0125;0,0125;0,0526;0,0409701737135365;23,8;10,1;5,03;4,925;0;3,8;8,05;0,049;8,1;NA
"ANTTUR0046";0,31;0,6;2,44;11,57;64,4;62,45;64,5;64,5;0,17;2,5;0,95;1,45;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,4;0,0903587241348152;33,68;0,160183279821843;6;12,35;109,1;0,18;0,05;0,0163078930202218;1,06;0,64;1,52;0,507343124165554;0,25;1,9;0,1;0,62;0,5887;25,8;0,68;0,0125;0,0125;0,0564;0,0409701737135365;75,5;34,9;5,99;6,388;0;2,05;3,63;0,038;4,2;NA
"ANTTUR0065";0,21;0,6;7,831;36,179;190,11;181,683;189,09;189,09;0,249;14,208;3,535;2,324;0,05;0,46;0,35719832272092;0,019;0,00578386605783866;1,107;0,250067769043101;18,209;0,630133355865034;21,875;12,155;109,76;0,18;0,05;0,0163078930202218;7,1;0,869;18,225;6,08311081441922;0,25;1,422;0,05891;1,58654;1,61982;22,9;0,898;0,0125;0,0125;0,03497;0,232841691248771;30,89;16,99;7,05;7,5089;0;9,165;5,255;0,034;1,39;NA
"ANTTUR0077";0,2;0,6;5,967;25,421;136,74;131,386;138,92;138,92;0,255;12,488;2,597;1,773;0,05;0,189;0,146761919552725;0,01;0,0030441400304414;0,91;0,205566097406705;23,015;0,443090740658478;16,083;11,626;111,67;0,18;0,05;0,0163078930202218;3,675;0,775;9,045;3,0190253671562;0,25;1,513;0,03801;1,18696;1,21434;24,29;0,775;0,0125;0,0125;0,04756;0,204654211733857;24,48;8,32;6,872;7,091;0;7,823;5,503;0,0344;1,56;NA
"ANTTUR0079";0,16;0,6;12,07;11,47;159,7;149,63;157;157;0,32;26,99;6,8;4,05;0,125;0,25;0,194129523217891;0,02;0,0060882800608828;2,17;0,490196078431373;25,21;0,823692999808999;7,86;12,56;130,1;0,18;0,05;0,0163078930202218;14,05;1,21;37,39;12,4799732977303;1,28;2,01;0,05;1,3626;1,4283;26,9;1,21;0,0125;0,0125;0,0272;0,44231399541134;22,9;26,2;6,93;7,474;0;6,91;5,89;0,047;2,4;NA
