"codeplas";"Al";"CO3";"Ca";"Cl";"EGV25_veld";"EGV_calc";"EGV_labo";"EGV_tit";"Fe";"HCO3_OEP";"K";"Mg";"Mn";"NH4";"NH4_N";"NO2";"NO2_N";"NO3";"NO3_N";"NPOC";"N_anorg";"Na";"O2_veld";"O2verz";"OH";"PO4";"PO4_P";"S";"SD_veld";"SO4";"SO4_S";"Si";"TN";"TP";"T_anion";"T_kation";"T_veld";"WD_veld";"ZS_105";"ZS_550";"absorptie_440";"alkaliniteit";"chl_a";"faeo";"pH_labo";"pH_veld";"sal_veld";"verschil_EGV_abs";"verschil_EGV_proc";"verschil_IC_abs";"verschil_IC_proc";"turbiditeit"
"ANTRAV0208";0,57;0,6;4,1;23,81;129,9;126,8;131,1;131,1;3,02;8,17;8,72;2,05;0,16;0,68;0,528032303152663;0,01;0,0030441400304414;1,53;0,345622119815668;32,91;0,542371283699956;12,56;7,31;72,8;0,18;0,05;0,0163078930202218;5,49;0,81;14,65;4,88985313751669;0,85;2,29;1,1369;1,116;1,1846;28,7;0,81;0,0125;0,0125;0,095;0,133890527695837;27,1;12,9;6,12;5,986;0;4,41;4,61;0,121;5,4;NA
"ANTRAV0211";0,05;0,6;17,98;22,97;229;215,86;227,8;227,8;0,14;42,27;5,87;3,94;0,05;0,4;0,310607237148626;0,01;0,0030441400304414;9,29;2,09858136803108;24,14;2,41223274521015;14,73;11,79;150,1;0,18;0,05;0,0163078930202218;11,48;1,23;34,86;11,6355140186916;0,25;3,77;1,0801;2,0942;2,0422;27,6;1,23;0,0125;0,0125;0,0201;0,692723697148476;29,2;24,1;8,94;9,729;0;11,94;6,25;0,052;1,6;NA
"ANTRAV0230";0,29;0,6;3,54;12,6;81,6;79,89;82,3;82,3;0,05;2,5;2,15;0,99;0,13;0,05;0,0388259046435782;0,01;0,0030441400304414;0,34;0,0768049155145929;16,84;0,118674960188612;7,14;10,92;114;0,18;0,05;0,0163078930202218;4,4;1,12;11,37;3,79506008010681;0,25;5,83;1,1735;0,67;0,6593;28,2;1,12;0,0125;0,0125;0,0122;0,0409701737135365;35,6;12,4;5,7;NA;0;3,17;5,63;0,017;2,7;NA
"ANTRAV0293";0,29;0,6;10,36;8,71;114;119,87;115,6;115,6;8,42;18,25;3,78;3,54;0,12;0,14;0,108712533002019;0,01;0,0030441400304414;0,29;0,065510074997741;74,09;0,177266748030201;6,78;11,7;112,1;0,18;0,05;0,0163078930202218;9,84;0,55;26,72;8,91855807743658;4,22;4,48;1,2083;1,0899;1,522;32,5;0,55;0,0125;0,0125;0,3469;0,299082268108817;15,2;17,7;6,45;6,463;0;4,27;3,79;0,432;16,5;NA
"ANTTUR0018";0,37;0,6;4,37;20,55;128,3;121,43;126,5;126,5;0,61;2,5;3,7;1,82;0,05;0,26;0,201894704146607;0,01;0,0030441400304414;2,73;0,616698292220114;20,53;0,658568336894134;9,8;10,48;121,4;0,18;0,05;0,0163078930202218;7,63;0,68;18,76;6,26168224299065;2,02;1,39;0,098;0,9314;0,9414;29,5;0,68;0,0125;0,0125;0,0352;0,0409701737135365;11;13,3;4,66;4,45;0;5,07;5,9;0,031;5,9;NA
"ANTTUR0022";0,37;0,6;0,91;10,77;60,2;57,08;60,8;60,8;0,26;2,5;4,22;0,64;0,05;0,12;0,0931821711445877;0,01;0,0030441400304414;0,34;0,0768049155145929;36,5;0,118674960188612;6,73;10,98;128,3;0,18;0,05;0,0163078930202218;1,14;0,57;1,58;0,527369826435247;0,25;2,03;0,1459;0,4984;0,5301;26,8;0,57;0,0125;0,0125;0,0659;0,0409701737135365;93,1;76,2;5,18;4,925;0,1;3,8;7,95;0,059;8,6;NA
"ANTTUR0046";0,31;0,6;2,44;13,09;64,4;62,45;64,5;64,5;0,2;2,5;0,95;1,45;0,05;0,15;0,116477713930735;0,01;0,0030441400304414;0,4;0,0903587241348152;39,39;0,160183279821843;6,61;11,54;115,3;0,18;0,05;0,0163078930202218;1,06;0,35;1,49;0,497329773030708;0,25;2,64;0,1231;0,62;0,5887;27,2;0,68;0,0125;0,0125;0,0713;0,0409701737135365;103,3;34,9;5,68;6,034;0;2,05;3,18;0,04;7,8;NA
"ANTTUR0065";0,21;0,6;8,71;41,24;217;203,18;214,6;214,6;0,29;17,77;3,4;2,47;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,62;0,140056022408964;18,29;0,181926067082984;24,58;10,85;114,5;0,18;0,05;0,0163078930202218;8,06;0,9;20,74;6,92256341789052;0,25;1,35;0,0484;1,7941;1,7987;24,6;0,9;0,0125;0,0125;0,0377;0,291215994755818;20,9;6,7;7,08;7,54;0;11,42;6,37;0,041;1,4;NA
"ANTTUR0077";0,2;0,6;5,98;36,21;173;166,09;174,1;174,1;0,26;12,77;2,55;2,18;0,05;0,19;0,147538437645597;0,01;0,0030441400304414;0,39;0,0880997560314448;29,84;0,16187741819289;22,22;10,21;117,5;0,18;0,05;0,0163078930202218;3,09;0,78;7,47;2,49332443257677;0,25;1,73;0,03;1,5172;1,5276;29,1;0,78;0,0125;0,0125;0,0483;0,209275647328745;41,6;15,2;6,95;7,1;0;8,04;5,76;0,039;1,8;NA
"ANTTUR0079";0,15;0,6;10,36;13,27;154;145,63;152,1;152,1;0,55;27,52;7,6;3,42;0,25;1,49;1,15701195837863;0,01;0,0030441400304414;0,46;0,103912532755038;35,37;1,26396863116411;9,49;12,09;153,4;0,18;0,05;0,0163078930202218;9;1,12;26,15;8,7283044058745;0,8;2,6;0,1439;1,3626;1,4283;27,4;1,12;0,0125;0,0125;0,0272;0,45099967223861;21;40,7;7,6;8,697;0;6,91;6,02;0,066;2,4;NA
