"codeplas";"Al";"CO3";"Ca";"Cl";"EGV25_veld";"EGV_calc";"EGV_labo";"EGV_tit";"Fe";"HCO3_OEP";"K";"Mg";"Mn";"NH4";"NH4_N";"NO2";"NO2_N";"NO3";"NO3_N";"NPOC";"N_anorg";"Na";"O2_veld";"O2verz";"OH";"PO4";"PO4_P";"S";"SD_veld";"SO4";"SO4_S";"Si";"TN";"TP";"T_anion";"T_kation";"T_veld";"WD_veld";"ZS_105";"ZS_550";"absorptie_440";"alkaliniteit";"chl_a";"faeo";"pH_labo";"pH_veld";"sal_veld";"verschil_EGV_abs";"verschil_EGV_proc";"verschil_IC_abs";"verschil_IC_proc";"turbiditeit"
"ANTTUR0046";0,05;0,6;1,03;4,1;24,3;24,24;23,9;23,9;0,05;2,5;0,48;0,54;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,05;0,0112948405168519;10,08;0,0531648851908715;2,35;5,84;72,3;0,18;0,05;0,0163078930202218;0,5;0,22;0,11;0,0367156208277704;0,25;0,56;0,015;0,2413;0,2344;4,1;0,22;0,0125;0,0125;0,0186;0,0409701737135365;7,7;2,5;5,31;5,3;0;0,06;0,23;0;0;NA
"ANTTUR0065";0,05;0,6;3,68;13,47;112,5;105,15;110,3;111,3;0,05;2,5;1,73;1,5;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,13;0,0293665853438149;8,76;0,0712366300178345;7,99;8,35;90,3;0,18;0,05;0,0163078930202218;3,19;0,31;8,13;2,71361815754339;0,25;0,52;0,015;0,7813;0,7945;4,6;0,43;0,0125;0,0125;0,0052;0,0409701737135365;2,5;2,5;4,37;4,258;0;0,11;0,08;0,005;0,1;NA
"ANTTUR0077";0,05;0,6;3,27;16,03;87,5;84,62;88,2;88,2;0,05;6,8;1,5;1,14;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,05;0,0112948405168519;14,4;0,0689776619144642;9,96;6,35;55,9;0,18;0,05;0,0163078930202218;1;0,42;2,56;0,854472630173565;0,25;0,96;0,015;0,7632;0,779;1;0,42;0,0125;0,0125;0,032;0,111438872500819;2,5;2,5;6,21;5,812;0;0,23;0,19;0,002;0,1;NA
"ANTTUR0079";0,05;0,6;2,14;5,96;43;41,38;41,3;41,3;0,05;2,5;0,78;0,82;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,05;0,0112948405168519;14,7;0,0531648851908715;3,86;8,9;90;0,18;0,05;0,0163078930202218;0,5;0,19;1,9;0,634178905206943;0,25;0,98;0,015;0,3704;0,3858;4,8;0,19;0,0125;0,0125;0,018;0,0409701737135365;2,5;2,5;5,84;6,34;0;0,08;0,19;0,015;0,6;NA
"ANTTUR0082";0,05;0,6;17,07;19,24;183,8;179,79;183,4;183,4;0,18;54,9;2,02;2,86;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,05;0,0112948405168519;20,49;0,0644597257077234;14,41;5,06;42,1;0,18;0,05;0,0163078930202218;0,5;NA;2,59;0,864485981308411;0,25;1,04;0,015;1,6567;1,8627;1,3;NA;0,0125;0,0125;0,021;0,899705014749262;2,5;2,5;6,82;6,68;0;3,61;1,97;0,027;0,5;NA
"ANTTUR0094";0,15;0,6;1,5;7,08;61,7;60,7;61;61;0,05;2,5;4,36;0,76;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,17;0,0384024577572965;4,99;0,196750216362051;4,09;7,02;77,4;0,18;0,05;0,0163078930202218;2,97;0,03;8,27;2,76034712950601;0,25;1,23;0,03;0,4727;0,4914;2,1;0,13;0,0125;0,0125;0,0021;0,0409701737135365;2,5;2,5;4,51;4,289;0;0,3;0,49;0,005;0,2;NA
"ANTTUR0257";0,05;0,6;0,81;5,2;34,1;35,41;36,1;36,1;0,05;2,5;1,52;0,43;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,05;0,0112948405168519;8,7;0,0531648851908715;2,89;7,17;77,6;0,18;0,05;0,0163078930202218;0,5;0,58;2,12;0,707610146862483;0,25;0,5;0,015;0,2805;0,308;2,5;0,58;0,0125;0,0125;0,0073;0,0409701737135365;2,5;2,5;4,94;5,01;0;0,2;0,54;0,001;0,1;NA
"ANTTUR0270";0,05;0,6;2,15;0,88;24,8;23,67;24,7;24,7;0,05;9,04;0,61;1,09;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,05;0,0112948405168519;8,03;0,0531648851908715;1;8,73;85,3;0,18;0,05;0,0163078930202218;0,5;0,32;0,05;0,0166889185580774;0,25;0,25;0,015;0,2812;0,2879;2,9;0,32;0,0125;0,0125;0,0166;0,148148148148148;2,5;2,5;6,78;6,751;0;0,16;0,17;0,001;0,1;NA
"ANTTUR0273";0,05;0,6;0,71;2,04;24,2;22,03;23;23;0,05;2,5;1,61;0,33;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,05;0,0112948405168519;12,11;0,0531648851908715;1,61;7,45;65,3;0,18;0,05;0,0163078930202218;0,5;0,43;0,05;0,0166889185580774;0,25;0,53;0,015;0,2115;0,2091;2,1;0,47;0,0125;0,0125;0,0231;0,0409701737135365;2,5;2,5;5,74;5,579;0;0,19;0,55;0,002;0,5;NA
"ANTTUR0277";0,05;0,6;1,61;5,29;43,5;42,11;42,5;42,5;0,05;2,5;1,41;0,57;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,05;0,0112948405168519;7,68;0,0531648851908715;3,71;7,47;80,1;0,18;0,05;0,0163078930202218;1,34;0,18;3,07;1,02469959946595;0,25;0,59;0,015;0,3808;0,3998;3,6;0,18;0,0125;0,0125;0,0063;0,0409701737135365;2,5;2,5;5,34;5,531;0;0,13;0,21;0;0;NA
"ANTTUR0282";0,19;0,6;1,7;4,3;33,2;31,51;33,2;33,2;0,015;2,5;0,6;0,56;0,01;0,05;0,0388259046435782;0,01;0,0030441400304414;0,05;0,0112948405168519;13,18;0,0531648851908715;2,12;7;73;0,18;0,05;0,0163078930202218;0,5;0,21;0,68;0,226969292389853;0,1;0,73;0,015;0,2955;0,315;0,7;0,21;0,0125;0,0125;0,0169;0,0409701737135365;2,5;2,5;5,26;5,085;0;0,1;0,3;0,001;0,1;NA
"ANTTUR0287";0,05;0,6;12,99;24,32;275;251,49;266,9;266,9;0,05;18,78;19,62;5,35;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,19;0,0429203939640372;16,56;0,0847904386380568;16,16;9,05;85,2;0,18;0,05;0,0163078930202218;13,66;0,17;30,93;10,3237650200267;0,25;0,98;0,015;2,2721;2,3087;4,3;0,17;0,0125;0,0125;0,0325;0,307767944936087;2,5;2,5;6,8;6,79;0;14,76;2,93;0,007;0,1;NA
"ANTTUR0292";0,12;0,6;1,09;2,72;20;19,39;20,4;20,4;0,015;2,5;0,37;0,35;0,01;0,05;0,0388259046435782;0,01;0,0030441400304414;0,05;0,0112948405168519;12,49;0,0531648851908715;1,65;8,16;80,3;0,18;0,05;0,0163078930202218;0,5;0,24;0,05;0,0166889185580774;0,1;0,68;0,015;0,2036;0,2008;0,4;0,24;0,0125;0,0125;0;0,0409701737135365;2,5;2,5;5,15;5,38;0;0,27;0,85;0,001;0,1;NA
"ANTTUR0295";0,1;0,6;0,49;3,82;28,5;27,59;28,6;28,6;0,05;2,5;0,16;0,37;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,05;0,0112948405168519;10,29;0,0531648851908715;2,17;8,79;89,4;0,18;0,05;0,0163078930202218;0,5;0,24;1,33;0,44392523364486;0,25;0,59;0,015;0,2009;0,2342;6,4;0,24;0,0125;0,0125;0,0083;0,0409701737135365;2,5;2,5;4,85;4,68;0;0,52;1,52;0,002;0,4;NA
"ANTTUR0296";0,05;0,6;1,67;7,34;43,8;42,73;44,4;44,4;0,05;2,5;1,6;0,62;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,12;0,0271076172404446;11,13;0,0689776619144642;4,07;8,83;96,3;0,18;0,05;0,0163078930202218;1,02;0,41;1,97;0,657543391188251;0,25;0,25;0,015;0,362;0,3736;4,1;0,41;0,0125;0,0125;0,0219;0,0409701737135365;2,5;2,5;5,33;5,209;0;0,4;0,67;0,005;0,2;NA
"ANTTUR0297";0,16;0,6;1,13;2,78;24,7;22,16;24,7;25,9;0,015;2,5;0,16;0,53;0,03;0,05;0,0388259046435782;0,01;0,0030441400304414;0,05;0,0112948405168519;16,24;0,0531648851908715;1,67;8,85;77,7;0,18;0,05;0,0163078930202218;0,5;0,2;0,89;0,297062750333778;0,1;0,5;0,015;0,2181;0,23;0,9;0,2;0,0125;0,0125;1e-04;0,0409701737135365;2,5;2,5;4,7;4,51;0;0,67;1,3;0,012;1,9;NA
"ANTTUR0299";0,05;0,6;9,09;5,21;83,5;83,8;84,3;84,3;0,2;33,28;0,62;2,12;0,01;0,05;0,0388259046435782;0,01;0,0030441400304414;0,05;0,0112948405168519;21,85;0,0531648851908715;5,4;4,69;52,8;0,18;0,05;0,0163078930202218;1,15;0,25;1,33;0,44392523364486;0,1;1,45;0,015;0,8652;0,9562;3;0,46;0,0125;0,0125;0,0209;0,545394952474598;2,5;2,5;6,34;6,15;0;0,5;0,59;0,008;0,2;NA
"ANTTUR0300";0,14;0,6;4,76;16,6;114,6;111,61;114,7;114,7;0,18;7,41;3,55;2,17;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,05;0,0112948405168519;32,6;0,0644597257077234;10,04;6,38;70,2;0,18;0,05;0,0163078930202218;3,44;0,19;8,91;2,9739652870494;0,25;1,37;0,015;1,0705;1,0635;1,9;0,59;0,0125;0,0125;0,042;0,121435594886922;9,5;2,5;6,05;6,04;0;0;0;0,003;0,1;NA
"ANTTUR0301";0,05;0,6;2,59;8,82;64,8;63,8;64,2;64,2;0,05;2,5;2,63;1,16;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,11;0,0248486491370742;6,59;0,0667186938110938;5,37;8,42;87,7;0,18;0,05;0,0163078930202218;2,09;0,34;4,81;1,60547396528705;0,25;0,25;0,015;0,5747;0,5669;4,2;0,49;0,0125;0,0125;0,0113;0,0409701737135365;2,5;2,5;3,57;3,57;0;0,19;0,28;0,008;0,6;NA
"ANTTUR0302";0,05;0,6;1,2;6,7;49,6;48,99;49,6;49,6;0,05;2,5;2,51;0,85;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,05;0,0112948405168519;14,96;0,0531648851908715;3,87;8,9;80,3;0,18;0,05;0,0163078930202218;1,43;0,25;3,18;1,06141522029373;0,25;1,14;0,015;0,4416;0,4632;1,4;0,25;0,0125;0,0125;0,0276;0,0409701737135365;2,5;2,5;5,69;5,67;0;0,13;0,24;0,002;0,2;NA
"ANTTUR0304";0,05;0,6;1,61;7,87;52,3;53,07;53,4;53,4;0,05;2,5;3,18;0,96;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,15;0,0338845215505557;3,73;0,0757545662245753;4,65;7,36;87,7;0,18;0,05;0,0163078930202218;2,21;0,22;5,44;1,81575433911883;0,25;0,25;0,015;0,4891;0,4872;4,4;0,43;0,0125;0,0125;0,0021;0,0409701737135365;2,5;2,5;4,28;4,329;0;0,04;0,07;0,001;0,1;NA
"ANTTUR0305";0,11;0,6;0,24;8,14;70,3;63,9;68,5;68,5;0,14;2,5;5,38;0,38;0,05;1,71;1,32784593881037;0,01;0,0030441400304414;0,68;0,153609831029186;31,88;1,74054847747792;4,85;8,85;72,8;0,18;0,33;0,107632093933464;1,95;0,02;3,26;1,08811748998665;0,25;3,45;0,58;0,6386;0,6073;2;0,12;0,0125;0,0125;0,0794;0,0409701737135365;99,4;53,3;5,73;5,74;0;0,2;0,13;0,002;0,1;NA
"ANTTUR0674";0,05;0,6;3,77;7,39;69,6;69,75;70,2;70,2;0,05;10,5;1,97;1,55;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,11;0,0248486491370742;19,8;0,0734955981212049;4,68;6,38;81,9;0,18;0,05;0,0163078930202218;1,59;0,1;3,48;1,16154873164219;0,25;0,8;0,015;0,6788;0,6807;2,4;0,31;0,0125;0,0125;0,0458;0,172074729596853;2,5;2,5;5,76;5,8;0;0,05;0,06;0,002;0,1;NA
